schema_version,ledger_version,evidence_id,evidence_area,required_for,evidence_state,availability,permission_state,synthetic_only,repository_artifact,evidence_uri,blocker,next_action
1,1,rights-cleared-finding-examples,corpus,ground truth,permission_required,unavailable,unverified,false,contract only,,No rights-cleared finding-level examples or access-controlled package are available,Obtain separate authorization and verify item-level rights before acquisition
1,1,approved-rubric-and-boundaries,rubric,ground truth,unavailable,unavailable,not_applicable,false,proposed protocol,,Qualified Appraiser-reviewed examples and boundaries do not exist,Run a fresh real pilot with two qualified Appraisers and adjudication lead
1,1,two-independent-qualified-appraisers,annotation,ground truth,unavailable,unavailable,not_applicable,false,synthetic workflow allowed,,No two independently qualified Appraisers are available,Verify qualifications before collecting blinded original labels
1,1,designated-adjudication-lead,annotation,ground truth,unavailable,unavailable,not_applicable,false,contract only,,No qualified adjudication lead is designated,Designate and qualify a lead independently of the two original reviewers
1,1,agreement-and-adjudication-results,annotation,ground truth,unavailable,unavailable,not_applicable,false,contract only,,No real agreement or adjudication results exist,Measure exact and ordinal agreement and retain disagreements
1,1,leakage-resistant-partitions,corpus,evaluation,unavailable,unavailable,not_applicable,false,contract only,,No populated severity corpus or split assignments exist,Deduplicate and group before allocating frozen partitions
1,1,empirical-candidate-and-baseline-evaluation,model,evaluation,unavailable,unavailable,not_applicable,false,experiment plan only,,No candidate or baseline has been trained or evaluated,Run frozen comparisons only after authorized ground truth exists
1,1,calibration-and-abstention-results,model,evaluation,unavailable,unavailable,not_applicable,false,contract only,,No empirical scores or calibration data exist,Fit on calibration partition and evaluate on sealed final test
1,1,end-to-end-detection-miss-results,pipeline,evaluation,unavailable,unavailable,not_applicable,false,contract only,,No end-to-end severity evaluation exists,Evaluate oracle findings and detector-generated findings separately
1,1,android-export-parity,android,feasibility,unavailable,unavailable,not_applicable,false,measurement plan only,,No severity export or parity fixture exists,Freeze a candidate export and compare outputs before device testing
1,1,representative-android-measurements,android,feasibility,unavailable,unavailable,not_applicable,false,measurement plan only,,No authorized representative physical Android measurements exist,Measure cold warm memory storage and sustained behavior on approved devices
1,1,human-release-gate-acceptance,release,release gate,unavailable,unavailable,not_applicable,false,contract only,,No qualified human release-gate decision exists,Review all frozen evidence and explicitly accept coverage thresholds limitations and fallback
1,1,synthetic-workflow,workflow,workflow exercise,synthetic_workflow,available,not_applicable,true,test fixtures,,Synthetic personas may test workflow only,Keep all synthetic results excluded from ground truth accuracy agreement and release approval
