schema_version,rubric_version,class_id,raw_class,damage_family,component_family,severity_level,pilot_anchor,component_relative_extent,example_state,boundary_state,qualified_appraiser_review,automation_coverage,fallback,notes
1,pilot-1,0,Front-windscreen-damage,glazing,front_windscreen,Minor,localized,proposed only,unavailable,unavailable,unavailable,unsupported,manual assessment or Undetermined,Candidate anchor only; expert examples and boundaries required
1,pilot-1,0,Front-windscreen-damage,glazing,front_windscreen,Moderate,intermediate,proposed only,unavailable,unavailable,unavailable,unsupported,manual assessment or Undetermined,Candidate anchor only; expert examples and boundaries required
1,pilot-1,0,Front-windscreen-damage,glazing,front_windscreen,Severe,widespread,proposed only,unavailable,unavailable,unavailable,unsupported,manual assessment or Undetermined,Candidate anchor only; expert examples and boundaries required
1,pilot-1,1,Headlight-damage,lamp,headlight,Minor,localized,proposed only,unavailable,unavailable,unavailable,unsupported,manual assessment or Undetermined,Candidate anchor only; expert examples and boundaries required
1,pilot-1,1,Headlight-damage,lamp,headlight,Moderate,intermediate,proposed only,unavailable,unavailable,unavailable,unsupported,manual assessment or Undetermined,Candidate anchor only; expert examples and boundaries required
1,pilot-1,1,Headlight-damage,lamp,headlight,Severe,widespread,proposed only,unavailable,unavailable,unavailable,unsupported,manual assessment or Undetermined,Candidate anchor only; expert examples and boundaries required
1,pilot-1,2,Rear-windscreen-Damage,glazing,rear_windscreen,Minor,localized,proposed only,unavailable,unavailable,unavailable,unsupported,manual assessment or Undetermined,Candidate anchor only; expert examples and boundaries required
1,pilot-1,2,Rear-windscreen-Damage,glazing,rear_windscreen,Moderate,intermediate,proposed only,unavailable,unavailable,unavailable,unsupported,manual assessment or Undetermined,Candidate anchor only; expert examples and boundaries required
1,pilot-1,2,Rear-windscreen-Damage,glazing,rear_windscreen,Severe,widespread,proposed only,unavailable,unavailable,unavailable,unsupported,manual assessment or Undetermined,Candidate anchor only; expert examples and boundaries required
1,pilot-1,3,Runningboard-Damage,running_board,running_board,Minor,localized,proposed only,unavailable,unavailable,unavailable,unsupported,manual assessment or Undetermined,Candidate anchor only; expert examples and boundaries required
1,pilot-1,3,Runningboard-Damage,running_board,running_board,Moderate,intermediate,proposed only,unavailable,unavailable,unavailable,unsupported,manual assessment or Undetermined,Candidate anchor only; expert examples and boundaries required
1,pilot-1,3,Runningboard-Damage,running_board,running_board,Severe,widespread,proposed only,unavailable,unavailable,unavailable,unsupported,manual assessment or Undetermined,Candidate anchor only; expert examples and boundaries required
1,pilot-1,4,Sidemirror-Damage,side_mirror,side_mirror,Minor,localized,proposed only,unavailable,unavailable,unavailable,unsupported,manual assessment or Undetermined,Candidate anchor only; expert examples and boundaries required
1,pilot-1,4,Sidemirror-Damage,side_mirror,side_mirror,Moderate,intermediate,proposed only,unavailable,unavailable,unavailable,unsupported,manual assessment or Undetermined,Candidate anchor only; expert examples and boundaries required
1,pilot-1,4,Sidemirror-Damage,side_mirror,side_mirror,Severe,widespread,proposed only,unavailable,unavailable,unavailable,unsupported,manual assessment or Undetermined,Candidate anchor only; expert examples and boundaries required
1,pilot-1,5,Taillight-Damage,lamp,taillight,Minor,localized,proposed only,unavailable,unavailable,unavailable,unsupported,manual assessment or Undetermined,Candidate anchor only; expert examples and boundaries required
1,pilot-1,5,Taillight-Damage,lamp,taillight,Moderate,intermediate,proposed only,unavailable,unavailable,unavailable,unsupported,manual assessment or Undetermined,Candidate anchor only; expert examples and boundaries required
1,pilot-1,5,Taillight-Damage,lamp,taillight,Severe,widespread,proposed only,unavailable,unavailable,unavailable,unsupported,manual assessment or Undetermined,Candidate anchor only; expert examples and boundaries required
1,pilot-1,6,bonnet-dent,dent,bonnet,Minor,localized,proposed only,unavailable,unavailable,unavailable,unsupported,manual assessment or Undetermined,Candidate anchor only; expert examples and boundaries required
1,pilot-1,6,bonnet-dent,dent,bonnet,Moderate,intermediate,proposed only,unavailable,unavailable,unavailable,unsupported,manual assessment or Undetermined,Candidate anchor only; expert examples and boundaries required
1,pilot-1,6,bonnet-dent,dent,bonnet,Severe,widespread,proposed only,unavailable,unavailable,unavailable,unsupported,manual assessment or Undetermined,Candidate anchor only; expert examples and boundaries required
1,pilot-1,7,boot-dent,dent,boot,Minor,localized,proposed only,unavailable,unavailable,unavailable,unsupported,manual assessment or Undetermined,Candidate anchor only; expert examples and boundaries required
1,pilot-1,7,boot-dent,dent,boot,Moderate,intermediate,proposed only,unavailable,unavailable,unavailable,unsupported,manual assessment or Undetermined,Candidate anchor only; expert examples and boundaries required
1,pilot-1,7,boot-dent,dent,boot,Severe,widespread,proposed only,unavailable,unavailable,unavailable,unsupported,manual assessment or Undetermined,Candidate anchor only; expert examples and boundaries required
1,pilot-1,8,doorouter-dent,dent,outer_door,Minor,localized,proposed only,unavailable,unavailable,unavailable,unsupported,manual assessment or Undetermined,Candidate anchor only; expert examples and boundaries required
1,pilot-1,8,doorouter-dent,dent,outer_door,Moderate,intermediate,proposed only,unavailable,unavailable,unavailable,unsupported,manual assessment or Undetermined,Candidate anchor only; expert examples and boundaries required
1,pilot-1,8,doorouter-dent,dent,outer_door,Severe,widespread,proposed only,unavailable,unavailable,unavailable,unsupported,manual assessment or Undetermined,Candidate anchor only; expert examples and boundaries required
1,pilot-1,9,fender-dent,dent,fender,Minor,localized,proposed only,unavailable,unavailable,unavailable,unsupported,manual assessment or Undetermined,Candidate anchor only; expert examples and boundaries required
1,pilot-1,9,fender-dent,dent,fender,Moderate,intermediate,proposed only,unavailable,unavailable,unavailable,unsupported,manual assessment or Undetermined,Candidate anchor only; expert examples and boundaries required
1,pilot-1,9,fender-dent,dent,fender,Severe,widespread,proposed only,unavailable,unavailable,unavailable,unsupported,manual assessment or Undetermined,Candidate anchor only; expert examples and boundaries required
1,pilot-1,10,front-bumper-dent,dent,front_bumper,Minor,localized,proposed only,unavailable,unavailable,unavailable,unsupported,manual assessment or Undetermined,Candidate anchor only; expert examples and boundaries required
1,pilot-1,10,front-bumper-dent,dent,front_bumper,Moderate,intermediate,proposed only,unavailable,unavailable,unavailable,unsupported,manual assessment or Undetermined,Candidate anchor only; expert examples and boundaries required
1,pilot-1,10,front-bumper-dent,dent,front_bumper,Severe,widespread,proposed only,unavailable,unavailable,unavailable,unsupported,manual assessment or Undetermined,Candidate anchor only; expert examples and boundaries required
1,pilot-1,11,quaterpanel-dent,dent,quarter_panel,Minor,localized,proposed only,unavailable,unavailable,unavailable,unsupported,manual assessment or Undetermined,Candidate anchor only; expert examples and boundaries required
1,pilot-1,11,quaterpanel-dent,dent,quarter_panel,Moderate,intermediate,proposed only,unavailable,unavailable,unavailable,unsupported,manual assessment or Undetermined,Candidate anchor only; expert examples and boundaries required
1,pilot-1,11,quaterpanel-dent,dent,quarter_panel,Severe,widespread,proposed only,unavailable,unavailable,unavailable,unsupported,manual assessment or Undetermined,Candidate anchor only; expert examples and boundaries required
1,pilot-1,12,rear-bumper-dent,dent,rear_bumper,Minor,localized,proposed only,unavailable,unavailable,unavailable,unsupported,manual assessment or Undetermined,Candidate anchor only; expert examples and boundaries required
1,pilot-1,12,rear-bumper-dent,dent,rear_bumper,Moderate,intermediate,proposed only,unavailable,unavailable,unavailable,unsupported,manual assessment or Undetermined,Candidate anchor only; expert examples and boundaries required
1,pilot-1,12,rear-bumper-dent,dent,rear_bumper,Severe,widespread,proposed only,unavailable,unavailable,unavailable,unsupported,manual assessment or Undetermined,Candidate anchor only; expert examples and boundaries required
1,pilot-1,13,roof-dent,dent,roof,Minor,localized,proposed only,unavailable,unavailable,unavailable,unsupported,manual assessment or Undetermined,Candidate anchor only; expert examples and boundaries required
1,pilot-1,13,roof-dent,dent,roof,Moderate,intermediate,proposed only,unavailable,unavailable,unavailable,unsupported,manual assessment or Undetermined,Candidate anchor only; expert examples and boundaries required
1,pilot-1,13,roof-dent,dent,roof,Severe,widespread,proposed only,unavailable,unavailable,unavailable,unsupported,manual assessment or Undetermined,Candidate anchor only; expert examples and boundaries required
