schema_version,mapping_version,coverage_id,class_id,raw_class,component_family,raw_longitudinal_position,required_component_position,position_rule,damage_type,cohort_id,repair_operation_options,vehicle_context,geography,currency,source_id,coverage_status,pricing_status,missing_pricing_behavior,unresolved_requirements
1,1,cov-front-windscreen,0,Front-windscreen-damage,front_windscreen,front,none,Raw class identifies front windscreen only; it does not establish a subregion.,unspecified_visible_damage,cohort-front-windscreen,"glass_repair;glass_replacement;applicable_ancillary_work",phase1_us_baseline,US,USD,,unsupported,unavailable,unavailable,"Confirm repairability, exact glass/equipment, inclusions, calibration applicability, source rights, sample, and Appraiser-approved operation scope."
1,1,cov-headlight,1,Headlight-damage,headlight,front,lateral,Raw class identifies a front lamp family but not left or right.,unspecified_visible_damage,cohort-headlight,"component_repair;assembly_replacement;applicable_setup",phase1_us_baseline,US,USD,,unsupported,unavailable,unavailable,"Confirm lateral position from evidence or Appraiser adjudication, assembly technology, exact damaged component, fitment, labor, source rights, and sample."
1,1,cov-rear-windscreen,2,Rear-windscreen-Damage,rear_windscreen,rear,none,Raw class identifies rear windscreen only; it does not establish a subregion.,unspecified_visible_damage,cohort-rear-windscreen,"back_glass_replacement;independently_confirmed_alternative;applicable_ancillary_work",phase1_us_baseline,US,USD,,unsupported,unavailable,unavailable,"Confirm glass/features, moldings and fees, operation inclusions, source rights, sample, and Appraiser-approved scope; do not inherit front-windscreen pricing."
1,1,cov-runningboard,3,Runningboard-Damage,running_board,unknown,lateral,Do not equate running board with rocker panel or infer left or right.,unspecified_visible_damage,cohort-runningboard,"component_repair;component_replacement",phase1_us_baseline,US,USD,,unsupported,unavailable,unavailable,"Confirm component identity and side from evidence or Appraiser adjudication, accessory versus body scope, source rights, sample, and operation inclusions."
1,1,cov-sidemirror,4,Sidemirror-Damage,side_mirror,unknown,lateral,Do not infer left or right from the raw class.,unspecified_visible_damage,cohort-sidemirror,"subcomponent_repair;assembly_replacement;refinish_if_applicable",phase1_us_baseline,US,USD,,unsupported,unavailable,unavailable,"Confirm side, glass/cap/assembly scope, vehicle features, paint and labor inclusions, source rights, sample, and Appraiser review."
1,1,cov-taillight,5,Taillight-Damage,taillight,rear,lateral,Raw class identifies a rear lamp family but not left or right.,unspecified_visible_damage,cohort-taillight,"component_repair;assembly_replacement;applicable_setup",phase1_us_baseline,US,USD,,unsupported,unavailable,unavailable,"Confirm lateral position, component versus assembly, vehicle fitment, labor, source rights, sample, and Appraiser-approved scope."
1,1,cov-bonnet,6,bonnet-dent,bonnet,front,none,Raw class identifies the bonnet and its inherent front position; do not infer a subregion.,dent,cohort-bonnet-dent,"paintless_dent_repair;conventional_repair_refinish;replacement",phase1_us_baseline,US,USD,,unsupported,unavailable,unavailable,"Confirm dent extent, paint condition, material/access, selected non-interchangeable operation, overlaps, source rights, sample, and Appraiser review."
1,1,cov-boot,7,boot-dent,boot,rear,none,Raw class identifies the boot and its inherent rear position; do not infer a subregion.,dent,cohort-boot-dent,"paintless_dent_repair;conventional_repair_refinish;replacement",phase1_us_baseline,US,USD,,unsupported,unavailable,unavailable,"Confirm actual panel identity, dent extent, paint/access, selected non-interchangeable operation, overlaps, source rights, sample, and Appraiser review."
1,1,cov-doorouter,8,doorouter-dent,outer_door,unknown,lateral_and_longitudinal,Do not infer left or right or front or rear from the raw class.,dent,cohort-outer-door-dent,"paintless_dent_repair;conventional_repair_refinish;replacement",phase1_us_baseline,US,USD,,unsupported,unavailable,unavailable,"Confirm position from evidence or Appraiser adjudication, extent, access, selected operation, shared refinish work, source rights, sample, and Appraiser review."
1,1,cov-fender,9,fender-dent,fender,unknown,lateral_and_longitudinal,Do not infer left or right or front or rear from the raw class.,dent,cohort-fender-dent,"paintless_dent_repair;conventional_repair_refinish;replacement",phase1_us_baseline,US,USD,,unsupported,unavailable,unavailable,"Confirm position, material, extent, paint condition, selected operation, shared work, source rights, sample, and Appraiser review."
1,1,cov-front-bumper,10,front-bumper-dent,front_bumper,front,none,Raw class identifies front versus rear bumper only; do not infer a lateral subregion.,dent,cohort-front-bumper-dent,"cover_repair_refinish;cover_replacement",phase1_us_baseline,US,USD,,unsupported,unavailable,unavailable,"Confirm cover versus assembly damage, material/features, repairability, adjacent work, source rights, sample, and Appraiser-approved scope."
1,1,cov-quaterpanel,11,quaterpanel-dent,quarter_panel,unknown,lateral_and_longitudinal,Preserve the raw misspelling; do not infer left or right or front or rear.,dent,cohort-quarter-panel-dent,"paintless_dent_repair;conventional_repair_refinish;replacement",phase1_us_baseline,US,USD,,unsupported,unavailable,unavailable,"Confirm position, extent, access/material, repairability, selected operation, source rights, sample, and Appraiser review; replacement is not implied by detection."
1,1,cov-rear-bumper,12,rear-bumper-dent,rear_bumper,rear,none,Raw class identifies front versus rear bumper only; do not infer a lateral subregion.,dent,cohort-rear-bumper-dent,"cover_repair_refinish;cover_replacement",phase1_us_baseline,US,USD,,unsupported,unavailable,unavailable,"Confirm cover versus assembly damage, material/features, repairability, adjacent work, source rights, sample, and Appraiser-approved scope."
1,1,cov-roof,13,roof-dent,roof,center,none,Raw class identifies the roof; do not infer a subregion.,dent,cohort-roof-dent,"paintless_dent_repair;conventional_repair_refinish;replacement",phase1_us_baseline,US,USD,,unsupported,unavailable,unavailable,"Confirm dent count/extent, panel configuration, access, finish, ancillary work, source rights, sample, and Appraiser review."
