schema_version,mapping_version,class_id,raw_class,canonical_damage_type,component_family,raw_longitudinal_position,required_observed_position,position_rule,evidence
1,1,0,Front-windscreen-damage,unspecified_visible_damage,front_windscreen,front,none,The raw class identifies front versus rear windscreen only; it does not establish a more specific region.,TFLite metadata SHA-256 56d8341be346bbc9ebe94a038405b5f5f3ef7fd172ffb3fb99e2ac0e38cb8734
1,1,1,Headlight-damage,unspecified_visible_damage,headlight,front,lateral,The raw class identifies a front lamp family but not left or right; lateral position requires visible evidence or Appraiser adjudication.,TFLite metadata SHA-256 56d8341be346bbc9ebe94a038405b5f5f3ef7fd172ffb3fb99e2ac0e38cb8734
1,1,2,Rear-windscreen-Damage,unspecified_visible_damage,rear_windscreen,rear,none,The raw class identifies front versus rear windscreen only; it does not establish a more specific region.,TFLite metadata SHA-256 56d8341be346bbc9ebe94a038405b5f5f3ef7fd172ffb3fb99e2ac0e38cb8734
1,1,3,Runningboard-Damage,unspecified_visible_damage,running_board,unknown,lateral,Do not equate running board with rocker panel or infer left or right from the raw class.,TFLite metadata SHA-256 56d8341be346bbc9ebe94a038405b5f5f3ef7fd172ffb3fb99e2ac0e38cb8734
1,1,4,Sidemirror-Damage,unspecified_visible_damage,side_mirror,unknown,lateral,Do not infer left or right from the raw class.,TFLite metadata SHA-256 56d8341be346bbc9ebe94a038405b5f5f3ef7fd172ffb3fb99e2ac0e38cb8734
1,1,5,Taillight-Damage,unspecified_visible_damage,taillight,rear,lateral,The raw class identifies a rear lamp family but not left or right; lateral position requires visible evidence or Appraiser adjudication.,TFLite metadata SHA-256 56d8341be346bbc9ebe94a038405b5f5f3ef7fd172ffb3fb99e2ac0e38cb8734
1,1,6,bonnet-dent,dent,bonnet,front,none,The raw class identifies the bonnet and its inherent front position; do not infer a subregion.,TFLite metadata SHA-256 56d8341be346bbc9ebe94a038405b5f5f3ef7fd172ffb3fb99e2ac0e38cb8734
1,1,7,boot-dent,dent,boot,rear,none,The raw class identifies the boot and its inherent rear position; do not infer a subregion.,TFLite metadata SHA-256 56d8341be346bbc9ebe94a038405b5f5f3ef7fd172ffb3fb99e2ac0e38cb8734
1,1,8,doorouter-dent,dent,outer_door,unknown,lateral_and_longitudinal,The raw class does not identify left or right or front or rear; all position fields require visible evidence or Appraiser adjudication.,TFLite metadata SHA-256 56d8341be346bbc9ebe94a038405b5f5f3ef7fd172ffb3fb99e2ac0e38cb8734
1,1,9,fender-dent,dent,fender,unknown,lateral_and_longitudinal,The raw class does not identify left or right or front or rear; all position fields require visible evidence or Appraiser adjudication.,TFLite metadata SHA-256 56d8341be346bbc9ebe94a038405b5f5f3ef7fd172ffb3fb99e2ac0e38cb8734
1,1,10,front-bumper-dent,dent,front_bumper,front,none,The raw class identifies front versus rear bumper only; do not infer a lateral subregion.,TFLite metadata SHA-256 56d8341be346bbc9ebe94a038405b5f5f3ef7fd172ffb3fb99e2ac0e38cb8734
1,1,11,quaterpanel-dent,dent,quarter_panel,unknown,lateral_and_longitudinal,Preserve the raw misspelling. Do not infer left or right or front or rear from the raw class.,TFLite metadata SHA-256 56d8341be346bbc9ebe94a038405b5f5f3ef7fd172ffb3fb99e2ac0e38cb8734
1,1,12,rear-bumper-dent,dent,rear_bumper,rear,none,The raw class identifies front versus rear bumper only; do not infer a lateral subregion.,TFLite metadata SHA-256 56d8341be346bbc9ebe94a038405b5f5f3ef7fd172ffb3fb99e2ac0e38cb8734
1,1,13,roof-dent,dent,roof,center,none,The raw class identifies the roof; do not infer a subregion.,TFLite metadata SHA-256 56d8341be346bbc9ebe94a038405b5f5f3ef7fd172ffb3fb99e2ac0e38cb8734
